file,energy_0,homogenity_0,entropy_0,contras_0,energy_45,homogenity_45,entropy_45,contras_45,energy_90,homogenity_90,entropy_90,contras_90,energy_135,homogenity_135,entropy_135,contras_135
datalatih\Setengah_matang (41).jpg,0.21531673178096072,98.92691929133701,7.946487387042892,97.92691929133785,0.18837282525441848,143.1692603385212,8.075871002832875,142.16926033852047,0.22380562876347976,103.72317913385693,7.882788954317687,102.72317913385804,0.19812127515614805,132.44962489925143,8.046636944017122,131.44962489925015
datalatih\Setengah_matang (42).jpg,0.12094299554732357,74.74772391732273,7.89803787525523,73.74772391732293,0.0895143578995366,142.83396366792843,8.17903290704919,141.8339636679283,0.09817998719221396,119.85131643700709,8.116886330945688,118.85131643700798,0.08677379404529731,135.64777729555666,8.199672467765321,134.64777729555487
datalatih\Setengah_matang (43).jpg,0.11791463158160073,150.811208169292,8.141060387251093,149.8112081692917,0.0940123248591512,199.24911649823358,8.282140180638455,198.24911649823204,0.1122131196290994,175.48332923228418,8.149076396393905,174.4833292322846,0.09670745052966827,203.15053630107184,8.27433974856958,202.15053630107226
datalatih\Setengah_matang (44).jpg,0.14967368801942263,119.87229330708593,7.975395535162522,118.87229330708612,0.11957424869661583,153.3940107880224,8.109346042443487,152.39401078802055,0.14950491326766147,122.4608759842512,7.927998373448808,121.46087598425173,0.13142803891171376,148.47950895901835,8.06791519361023,147.47950895901744
datalatih\Setengah_matang (45).jpg,0.12139982263449968,202.46653543307127,8.420580040674198,201.4665354330723,0.09767287883459749,292.7905015810078,8.592058190298232,291.79050158100506,0.10360699230890802,268.17950295275546,8.548398913477387,267.1795029527562,0.09402155626132014,302.9754479508985,8.627529951540199,301.9754479508988
datalatih\Setengah_matang (46).jpg,0.06756521978696535,267.7216412401574,8.482928809546715,266.72164124015546,0.056699778413189586,388.72763345526795,8.635049044611371,387.72763345526636,0.06256419495309054,357.3229576771645,8.570836184262717,356.32295767716545,0.056838151434708925,383.94103788207843,8.632156453799382,382.9410378820781
datalatih\Setengah_matang (47).jpg,0.44079289757680407,211.89345472440957,7.65922271574522,210.89345472440996,0.4135777968992323,225.19213838427646,7.699169143532458,224.19213838427524,0.5210540239804082,161.4552165354336,7.510752405085587,160.45521653543386,0.411936738684967,228.68175336350546,7.70621413897132,227.68175336350575
datalatih\Setengah_matang (48).jpg,0.12075405486256761,277.63582677165255,8.421408322099984,276.63582677165294,0.10947219166417552,465.2228904457826,8.576273857578432,464.2228904457841,0.12717149909364497,463.35082431102205,8.535027080830588,462.35082431102296,0.10495444340123398,509.30876061752247,8.635356401134128,508.30876061752434
datalatih\Setengah_matang (49).jpg,0.13122110356750707,154.4623523622048,8.230448724153787,153.4623523622055,0.11129613659808252,259.5214830429672,8.41741366804387,258.5214830429671,0.14250664927107065,235.08741387795314,8.264392181938366,234.08741387795237,0.10976043515725707,277.7767375534777,8.438013119741703,276.7767375534757
datalatih\Setengah_matang (5).jpg,0.07133402999693168,469.96671998031167,8.774335599283061,468.9667199803126,0.05861732319874939,687.8416516833022,8.919621288080853,686.8416516833025,0.062149703461822046,641.3242495078669,8.872822568160233,640.3242495078678,0.05756192955719831,700.884059768115,8.922457050931264,699.8840597681223
datalatih\Setengah_matang (50).jpg,0.2580611438074241,247.49360236220215,7.917035317258293,246.4936023622041,0.249988549638893,296.48614297228823,7.9646636713066385,295.4861429722857,0.2826140330010172,239.8597440944877,7.826215499812279,238.8597440944879,0.25194563012316973,278.72496744993816,7.952687813207983,277.72496744993606
datalatih\Setengah_matang (51).jpg,0.4127358188179904,234.97699311023354,7.593920793427799,233.976993110235,0.40639931152728365,277.3225866451753,7.622402911197438,276.32258664517514,0.46052683999855903,225.8476870078724,7.478544887172433,224.84768700787367,0.40351831425931983,274.92590985182113,7.633258197493128,273.9259098518186
datalatih\Setengah_matang (52).jpg,0.40733751297752147,298.701587106296,7.755567626410452,297.7015871062987,0.4063331637106058,357.63667927335865,7.780704342137305,356.6366792733583,0.4486944413946616,309.60236220472103,7.660233614071764,308.60236220472393,0.4024392818452621,364.0804761609523,7.79227915004873,363.0804761609526
datalatih\Setengah_matang (53).jpg,0.05660008878593818,199.17882627952568,8.612670422085834,198.17882627952756,0.04981344205340087,314.4075888151767,8.765934366250203,313.40758881517905,0.056300381155253064,276.11140501968356,8.660079347320726,275.1114050196857,0.04892470569841749,310.09300018600203,8.7656691108126,309.0930001859995
datalatih\Setengah_matang (54).jpg,0.1712091003530549,215.97059547243964,8.192005133699805,214.97059547244098,0.16339738860879663,301.5002790005613,8.273717868545326,300.5002790005581,0.18040144936532299,255.02165354330475,8.16000655438181,254.02165354330634,0.16015585537270188,292.26164052328284,8.287137618446607,291.2616405232804
datalatih\Setengah_matang (55).jpg,0.1460824943135079,246.15834153543068,8.347758466240064,245.15834153543219,0.13688019812027089,369.50957901916087,8.448323876066873,368.50957901915854,0.1505306550654458,324.49630905511674,8.349245992099744,323.49630905511896,0.13654826739253084,358.66296732593526,8.445632857413322,357.6629673259338
datalatih\Setengah_matang (56).jpg,0.12201450141470167,153.74667814960677,8.192669671789044,152.74667814960674,0.10476214076586027,204.73544547089136,8.330129097011984,203.73544547089006,0.11777004535456609,181.44076033464702,8.243781018536149,180.4407603346477,0.10613951682328852,226.14012028024194,8.359753088431216,225.14012028024
datalatih\Setengah_matang (57).jpg,0.08883248650252533,169.6942667322835,8.375995505614297,168.69426673228418,0.07618466374622518,260.58831917663866,8.557000323946665,259.5883191766379,0.08641731980690179,241.99372539369992,8.46941427087258,240.99372539369918,0.07395664168200737,283.7158534317091,8.578918389113944,282.71585343170756
datalatih\Setengah_matang (58).jpg,0.08150312504296954,158.12272391732301,8.308245499934026,157.12272391732304,0.06793190869572716,235.1947423894853,8.469196797153886,234.19474238948445,0.07866753892738508,191.73252952755936,8.357162530238128,190.73252952756062,0.06966332625748038,213.01457002913946,8.447088435022476,212.01457002913978
datalatih\Setengah_matang (59).jpg,0.0951774540878403,133.7444020669295,8.271494874286914,132.7444020669288,0.08085978984268777,200.54237708475475,8.448080876563807,199.5423770847533,0.10282790572882773,163.44562007874032,8.28251181252091,162.4456200787405,0.08232908207380826,197.43821687643404,8.435006644443588,196.43821687643202
